,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
366,2065321,0.27,False,De Pijp - Rivierenbuurt,52.35042,4.8922,Entire home/apt,2,1,1,7,170.0,3,15,True,0,1,4.83,False,85.0,510.0,0.08,0.19,0.12,4.99,0.01643835616438356,850.0
367,2074047,1.0,False,Westerpark,52.37292,4.87225,Entire home/apt,4,2,1,12,185.0,6,30,True,0,0,4.95,False,46.25,1110.0,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
368,2080040,0.5399999999999999,True,Zuid,52.35327,4.84733,Entire home/apt,3,2,2,12,134.0,7,1125,True,9,1,4.51,False,44.67,938.0,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
369,2080427,1.0,False,Oud-Oost,52.3522,4.91484,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4.47,False,51.0,612.0,0.07,0.15,0.15,4.99,0.0,510.0
370,2084758,0.28,False,De Pijp - Rivierenbuurt,52.35151,4.88881,Entire home/apt,4,2,2,4,115.0,2,60,True,0,0,4.94,False,28.75,230.0,0.05,0.15,0.19,4.99,0.0,575.0
371,2088011,1.0,False,Oud-Oost,52.36136,4.92817,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5.0,False,75.0,450.0,0.06,0.19,0.15,4.99,0.0,750.0
372,2091152,0.6799999999999999,False,De Pijp - Rivierenbuurt,52.35194,4.90482,Private room,2,1,2,6,90.0,1,5,True,2,5,4.6,True,45.0,90.0,0.06,0.07,0.17,4.99,0.7452054794520548,457.4931506849315
373,2097548,0.33,False,Noord-West,52.40325,4.91954,Entire home/apt,4,2,4,6,150.0,3,21,True,0,0,4.89,False,37.5,450.0,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
374,2116479,0.63,False,Westerpark,52.37957,4.86845,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4.48,False,62.5,375.0,0.06,0.14,0.15,4.99,0.0,625.0
375,2116719,0.31000000000000005,False,Oud-Noord,52.39145,4.929,Entire home/apt,4,2,4,10,205.0,2,3,True,0,0,4.67,False,51.25,410.0,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
376,2144304,0.8,False,Zuid,52.35289,4.87731,Entire home/apt,6,3,4,17,466.0,3,1125,True,0,0,4.890000000000001,True,77.67,1398.0,0.03,0.25,0.22,10.99,0.019178082191780823,2330.0
377,2144308,0.86,False,Noord-West,52.41278,4.91917,Entire home/apt,2,1,1,8,90.0,3,1125,True,0,0,4.84,True,45.0,270.0,0.06,0.13,0.16,4.99,0.0,451.64383561643837
378,2148417,1.0,False,De Baarsjes - Oud-West,52.37429,4.86268,Entire home/apt,4,2,1,8,190.0,2,1125,True,0,1,4.81,False,47.5,380.0,0.07,0.16,0.24,4.99,0.0,1204.13698630137
379,2174515,0.77,False,Centrum-West,52.37847,4.88475,Entire home/apt,2,1,2,9,175.0,2,30,True,0,0,4.82,True,87.5,350.0,0.09,0.2,0.17,4.99,0.0,875.0
380,2175600,0.21000000000000002,False,Zuid,52.35469,4.85663,Entire home/apt,2,1,1,8,180.0,1,1125,True,0,1,4.93,False,90.0,180.0,0.06,0.17,0.22,4.99,0.5643835616438356,900.0
381,2211896,0.73,True,De Pijp - Rivierenbuurt,52.35198,4.90531,Private room,2,1,1,4,96.0,1,30,True,1,5,4.76,False,48.0,96.0,0.04,0.13,0.16,4.99,0.1178082191780822,391.2054794520548
382,2224903,0.67,False,Oud-Oost,52.35639,4.91596,Entire home/apt,4,2,4,9,225.0,3,3,True,0,1,4.13,False,56.25,675.0,0.08,0.14,0.25,4.99,0.4794520547945205,1105.4109589041095
383,2235666,0.010000000000000009,False,Oud-Noord,52.39333,4.91358,Entire home/apt,4,2,5,9,160.0,2,2,True,2,2,4.85,False,40.0,320.0,0.08,0.16,0.21,4.99,0.4383561643835616,930.3972602739726
384,2235708,0.6799999999999999,False,De Pijp - Rivierenbuurt,52.35442,4.89877,Entire home/apt,2,1,1,4,139.0,6,1124,True,0,0,4.81,False,69.5,834.0,0.07,0.12,0.21,4.99,0.024657534246575342,886.7808219178082
385,2107131,1.0,True,Gaasperdam - Driemond,52.275,4.9954,Entire home/apt,6,3,3,18,377.0,2,60,True,1,5,4.98,False,62.83,754.0,0.11,0.16,0.23,4.99,0.4712328767123288,1856.7123287671234
386,721551,0.72,False,Noord-Oost,52.41881,5.0701,Entire home/apt,6,3,3,4,180.0,5,1125,True,5,1,4.95,False,30.0,900.0,0.06,0.21,0.16,4.99,0.2958904109589041,901.3698630136986
387,587228,0.3,False,Noord-Oost,52.44068,4.95268,Entire home/apt,4,2,2,3,95.0,2,1125,True,6,0,4.84,False,23.75,190.0,0.06,0.12,0.15,4.99,0.7945205479452054,475.0
388,2203816,1.0,True,Gaasperdam - Driemond,52.30836,5.02966,Private room,1,1,1,4,68.0,70,90,True,26,0,4.28,True,68.0,4760.0,0.07,0.14,0.16,2.99,0.37534246575342467,344.63013698630135
389,1910692,0.97,False,Noord-Oost,52.43076,4.98203,Entire home/apt,4,2,3,3,168.0,3,30,True,0,2,4.9,True,42.0,504.0,0.09,0.07,0.18,4.99,0.3506849315068493,840.2054794520548
390,1100198,1.0,False,Noord-Oost,52.42865,4.96402,Entire home/apt,2,1,1,2,80.0,2,365,True,2,4,4.75,True,40.0,160.0,0.05,0.12,0.15,4.99,0.6712328767123288,400.0
391,550401,0.43,False,Buitenveldert - Zuidas,52.30611,4.86426,Entire home/apt,5,3,4,9,140.0,59,1125,True,0,0,4.92,False,28.0,8260.0,0.08,0.14,0.17,4.99,0.4986301369863014,700.0
